Reference, Value, Footprint, Datasheet, MPN, SKU
C15,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603JRNPO9BN101,302010076
C16,CERAMIC-100PF-50V-5%-NPO_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603JRNPO9BN101,302010076
C19,CERAMIC-47PF-50V-5%-NP0_0402_,SeeedOPL-Capacitor-2016:C0402,,CC0402JRNPO9BN470,302010007
C22,CERAMIC-47PF-50V-5%-NP0_0402_,SeeedOPL-Capacitor-2016:C0402,,CC0402JRNPO9BN470,302010007
C21,DNP,Capacitors_SMD:C_0603,,,
C20,DNP,Capacitors_SMD:C_0603,,,
C24,DNP,Capacitors_SMD:C_0603,,,
C25,DNP,Capacitors_SMD:C_0603,,,
C23,82pF,Capacitors_SMD:C_0603,,GQM1875C2E820JB12D,
R23,DNP,Resistors_SMD:R_0603,,,
ant1,NFC_antenna,Octanis3:NFC_ANTENNA_CIRC,
L2,742792042,Resistors_SMD:R_0805,,742792042,
L5,742792042,Resistors_SMD:R_0805,,742792042,
L6,742792093,Resistors_SMD:R_0805,,742792093,
C17,CERAMIC-10NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603KRX7R9BB103,302010140
C11,CERAMIC-10NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603KRX7R9BB103,302010140
C18,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603KRX7R9BB104,302010138
C9,CERAMIC-100NF-50V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603KRX7R9BB104,302010138
C10,CERAMIC-1UF-25V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603KRX7R8BB105,302010139
C14,CERAMIC-1UF-25V-10%-X7R_0603_,SeeedOPL-Capacitor-2016:C0603,,CC0603KRX7R8BB105,302010139
FI1,NFM18PS105R0J3D,murata-filter:NFM18PS,,NFM18PS105R0J3D,
L7,XFL4020-102ME,Octanis3:XFL4020,,XFL4020-102MEC,
C26,CERAMIC-10UF-25V-10%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,,CC0805KKX5R8BB106,302010178
C27,CERAMIC-22UF-6.3V-20%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,,CC0805MKX5R5BB226,302010171
C28,CERAMIC-22UF-6.3V-20%-X5R_0805_,SeeedOPL-Capacitor-2016:C0805,,CC0805MKX5R5BB226,302010171
R24,SMD-RES-560K-5%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603JR-07560KL,301010230
R25,180k,Resistors_SMD:R_0603,,RR0816P-184-D,
U3,TPS630250RNC,Octanis3:RNC0014A,,TPS630250RNCT,
P4,NFC_PWR_SEL,Socket_Strips:Socket_Strip_Straight_1x03,,,
BT1,Battery,Connectors_Molex:Molex_KK-6410-02_02x2.54mm_Straight,,,
JP1,JUMPER,Socket_Strips:Socket_Strip_Straight_1x02,,969102-0000-DA,
JP2,JUMPER,Socket_Strips:Socket_Strip_Straight_1x02,,969102-0000-DA,
U4,RN2483,Octanis3:RN2483,,RN2483-I/RM101,
R26,SMD-RES-10K-1%-1_10W_0603_,SeeedOPL-Resistor-2016:R0603,,RC0603FR-0710KL,301010299
ANT_UHF1,ANTENNA-CONN-U-FL_3P_,SeeedOPL-Connector-2016:U-FL3P-SMD-2.6X2.6X1.0MM,,,320110048
